id;Latitude;Longitude;Continent;Country;Administrative Area 1;Administrative Area 2;Administrative Area 3;Locality;SubLocality;Description;Status;Url;Images;Size;Types;
4941426953551872;34.34322018645177;-83.91568101019031;North America;United States;Georgia;Hall County;;Gainesville;;;UNCONFIRMED;http://www.trashout.me/illegal-dump/4941426953551872;http://lh3.googleusercontent.com/1qkkR-vdHFQ6rVF1mZur2q_hNwJe29d-4wKI2SPa4D5Q2jgy01Mz3yex63rZsQRajZplWVGwl7bt7iZ5XkwNhA=s1000, ;LARGE;CONSTRUCTION, ;
6153073130995712;34.17021976;-83.77285728;North America;United States;Georgia;Jackson County;;Braselton;;;UNCONFIRMED;http://www.trashout.me/illegal-dump/6153073130995712;http://lh3.googleusercontent.com/RvNxbGtWjlBbefBBwgFpj62lKSHCb68eSykyYwGqk7wOFwsbnwSBNSHh7EEFAdQUdsntzof0Vcr-OUT7z0ujMsjm=s1000, ;SMALL;HOUSEHOLD, ;
6372321547780096;34.24444033767492;-83.98441362202539;North America;United States;Georgia;Forsyth County;;Gainesville;;;UNCONFIRMED;http://www.trashout.me/illegal-dump/6372321547780096;http://lh3.googleusercontent.com/EwzoCjtzXxwt5ATiSewewxzeog14IgW6aL9A5PfYesojVlvaaoGvWoWyJ0iG_Gp_tu3f_Xkv8OQ-tQjwbcKjHyg=s1000, ;SMALL;HOUSEHOLD, ;
5543373263863808;34.30533997717714;-83.86012936018767;North America;United States;Georgia;Hall County;;Gainesville;;;UNCONFIRMED;http://www.trashout.me/illegal-dump/5543373263863808;http://lh3.googleusercontent.com/MzCbrpL0zWNvftA01LaROtaVVHHSAL0fiK3zcyI1tsnJdSxuHUkaNyolVOEaY3hyOAkVCMLw8izRDRe0sj7sSwc=s1000, ;SMALL;LIQUID, METAL, ;
6434654945017856;34.39599436710998;-83.9785912168063;North America;United States;Georgia;Dawson County;;Dawsonville;;;UNCONFIRMED;http://www.trashout.me/illegal-dump/6434654945017856;http://lh3.googleusercontent.com/FuK0i6cvvB5ZdAeoy2YaQwSy1MFKUNmHyeBfpL5KeGSIr2gFNl_yjhW0FsJEcPhiI1FF9xosxYTtNmc-8D-CcYY4=s1000, ;SMALL;LIQUID, HOUSEHOLD, METAL, ;
6377492822622208;34.33624335;-83.9850649;North America;United States;Georgia;Dawson County;;Dawsonville;;4 large rusted barrels, cable, tires, this is on Taylor Creek in the corner cove. ;UNCONFIRMED;http://www.trashout.me/illegal-dump/6377492822622208;http://lh3.googleusercontent.com/_9Q-K4eaaQhFlv8H6SoKAQe_l2MAxjNF-_ebj65S992JOKaBiZlwHUdHa4ORCnIzsNVrdN2squYxWnn4V_FKhMU=s1000, ;SMALL;METAL, ;
6405122481455104;34.33624141;-83.98505491;North America;United States;Georgia;Dawson County;;Dawsonville;;;UNCONFIRMED;http://www.trashout.me/illegal-dump/6405122481455104;http://lh3.googleusercontent.com/eeZh7mcOWIlWFWDxaG_vU9ujtzvE69StG71gPOms8J0OBrY7uNzSRNbHABd16X5VEh8pGLS2hld97iApGH9NX9A=s1000, ;SMALL;METAL, ;
6416390462373888;34.33621724;-83.98497855;North America;United States;Georgia;Dawson County;;Dawsonville;;washed up in the flood. in corner of Taylor Creek cove.;UNCONFIRMED;http://www.trashout.me/illegal-dump/6416390462373888;http://lh3.googleusercontent.com/0R1VJA2CrVW9_GmBtvcvh-s5cZauR5qVh8RLPY0WxQZ4-XU_d4XR0hSRUwPBoXm6e3M5dGJutzMldVmy0DZ_mbOw=s1000, ;SMALL;PLASTIC, ;
6458483994001408;34.337509721549544;-83.84770352401198;North America;United States;Georgia;Hall County;;Gainesville;;;UNCONFIRMED;http://www.trashout.me/illegal-dump/6458483994001408;http://lh3.googleusercontent.com/4wNVGbWT7nlYxB7EUndXoPlcd2tsnmiimpWIQy7GNWdEYsxqMc86WiUJBZi77k2uR3VVycHy1vq92V5WJkcMcw=s1000, ;MEDIUM;HOUSEHOLD, ;
6388768185516032;34.312299387561445;-83.77368821770304;North America;United States;Georgia;Hall County;;Gainesville;;;UNCONFIRMED;http://www.trashout.me/illegal-dump/6388768185516032;http://lh3.googleusercontent.com/HMJifW0nD2aJ0ZU4xCW0G0OE5IwZvqpViECLPTSoxjsWafzR6TWDikfFPUEi1PDAN6wjHXHERzxgiG5xid-BfjSz=s1000, http://lh3.googleusercontent.com/DGDroNy5DQKrB6VpeL-HzmH5EiWKpp0FEKG3nKJux7Ip8j-61YOJNAYGoNZf4s5a8E44tFg5PI-EfCLAAuVGE9A=s1000, ;MEDIUM;HOUSEHOLD, PLASTIC, GLASS, ;
6374908326051840;34.418115173498556;-83.97636850372326;North America;United States;Georgia;Hall County;;Murrayville;;;UNCONFIRMED;http://www.trashout.me/illegal-dump/6374908326051840;http://lh3.googleusercontent.com/16IprajujH2SlYt84wQ-_3Bxhr-0SpxA1ud-AdvvXIgaSYRFoeE6thh_0o-9VzQTI3e1PfcTf4zDsDgqpUg0xQ=s1000, ;LARGE;HOUSEHOLD, ;
4999831596564480;34.287534300269826;-83.80970139995571;North America;United States;Georgia;Hall County;;Gainesville;;;UNCONFIRMED;http://www.trashout.me/illegal-dump/4999831596564480;http://lh3.googleusercontent.com/bOiicqlBTJpXz1xFmgF7waq1Ixc1XTMUCJDx8aMufR77-irxLDCw5wja0CSjs9WAlYZAOGFgdTAo3ST5Yn9SY6I=s1000, http://lh3.googleusercontent.com/Od9E6KKZM5kU6HI8WxJDPooX4fd2Rz8jQ3ZqNjDWPxm4O8dOH0fWFbtcm7DXCMsMptXSWg9ZANmdsxnAyOTOOHk=s1000, http://lh3.googleusercontent.com/k4Ucdrvd85k09ponRp_1qiEKG3w-9InrpdqfXPyxS1aW_z3hdG3vXPlqytl1yFmvOxhT0oKbKEhmhhwB4VXmmxY=s1000, ;SMALL;HOUSEHOLD, ;
6361475715170304;34.43325963805842;-83.97730953999233;North America;United States;Georgia;Lumpkin County;;Dahlonega;;;UNCONFIRMED;http://www.trashout.me/illegal-dump/6361475715170304;http://lh3.googleusercontent.com/inFwqH5EtdVvRDpYHyzjuvOoUZXsnhoCoAhkOWCw6bCnEpWqisNNsLOtGVdxgLdV7jjhOBH-oJaZOS-HgbjgJLc=s1000, ;LARGE;AUTOMOTIVE, ;
4955223160258560;34.25804517235072;-83.84280044593274;North America;United States;Georgia;Hall County;;Gainesville;;;UNCONFIRMED;http://www.trashout.me/illegal-dump/4955223160258560;http://lh3.googleusercontent.com/k2Us9kHecuJgQyTXKyYWolmINvrN-DBp3YV6DLwr6Tr8nw6AF8GpoRY6U6KL-C4aqNIDWNLgkOTi6XrZmWviqBM=s1000, ;LARGE;HOUSEHOLD, ;
6438471459667968;34.256355087304726;-83.83871552542209;North America;United States;Georgia;Hall County;;Gainesville;;;UNCONFIRMED;http://www.trashout.me/illegal-dump/6438471459667968;http://lh3.googleusercontent.com/zhSt2SJHyGUjIupEya2oovB0x0IJSSPFcdCIgSzQK_PE39tWl3q4HlSr61ZkEXSYQa-IU4m_LZm7JtdWZ0GkWMM=s1000, ;LARGE;HOUSEHOLD, ;
6362598043811840;34.28841498683606;-83.7997793220764;North America;United States;Georgia;Hall County;;Gainesville;;;UNCONFIRMED;http://www.trashout.me/illegal-dump/6362598043811840;http://lh3.googleusercontent.com/BvS4UKE8PneUbA7pFcGOiW-m1wWkhkMjtzxwUIDLt3hRHiUzHYu3tjSZ70HA88LpcQ07U6YapWY93geV7Lxl9ndz=s1000, http://lh3.googleusercontent.com/P710fbIxgYUorvp2EGs8bXSLdobIrxbfS4N2opP8jIlUFF6o6Ws2Kh-53YruE3MymJE8PDtPsRZwlJMgR2LoiZ0T=s1000, ;SMALL;HOUSEHOLD, ;
5057886434623488;34.28860221;-83.84237906;North America;United States;Georgia;Hall County;;Gainesville;;Behind old Chic fil A on Shallowford Road.;UNCONFIRMED;http://www.trashout.me/illegal-dump/5057886434623488;http://lh3.googleusercontent.com/asZG4M9liMZrTR4DkvpbAtkaVuIPl0JLJ73648CfuKTKUVgOsmQVILWb1_Na4smW_PeeKPStZQ8kLrD9gK8NOg=s1000, ;MEDIUM;HOUSEHOLD, METAL, PLASTIC, ;
5570735057666048;34.3023856915853;-83.82987479687094;North America;United States;Georgia;Hall County;;Gainesville;;;UNCONFIRMED;http://www.trashout.me/illegal-dump/5570735057666048;http://lh3.googleusercontent.com/6iEh2_YY1w6dNceNNjebMlYQIDhNJTGFxcchCa-Pk-I2AEt0pd0kgcYfXwQLdmlvHOyhPjVBP42bmCzV9UyYqg=s1000, ;MEDIUM;AUTOMOTIVE, ;
4995285675671552;34.28200760859463;-83.78400223337466;North America;United States;Georgia;Hall County;;Gainesville;;;UNCONFIRMED;http://www.trashout.me/illegal-dump/4995285675671552;http://lh3.googleusercontent.com/LWOuNAh17PoWIsNueXaZPABhFSxDLc4fZJOXDUfjyR4OAXxApmSRWeJx88yTu3FPm9U3afWKQmTasaBYnsHexEg=s1000, http://lh3.googleusercontent.com/JGmAwYWLULYKPXaGuEbuHgrw_dW_1afTlmaV-iZthwy1_2A_UVOr9ec_ZCBo4ov5C-ExulQKkgFWHtQ1MiaCEEqO=s1000, http://lh3.googleusercontent.com/p6thl95wqwIu4yU9ZFK18741-PUSRfrHGUqWf5pprv80Ahwles8cRpy7fugPknZnX8qbaZojHcKDCg35DKQMheNN=s1000, ;SMALL;HOUSEHOLD, ;
6398494440947712;34.19204872;-83.95602934;North America;United States;Georgia;Hall County;;Flowery Branch;;;UNCONFIRMED;http://www.trashout.me/illegal-dump/6398494440947712;http://lh3.googleusercontent.com/iQHoGjlvjqBntCUrg6jnd4ijdP7pBAkEyPO-QcmpybEZH-qsHrS_eszxvBNEAP9mnFK32idMAjkYTO9hXufBAg=s1000, ;LARGE;CONSTRUCTION, ;
4953150167449600;34.32766643356003;-83.81281971939264;North America;United States;Georgia;Hall County;;Gainesville;;;UNCONFIRMED;http://www.trashout.me/illegal-dump/4953150167449600;http://lh3.googleusercontent.com/6SDlMVBsxG1MpIagOcKhx0nalisTCuUqUTMrpK46KbvQZLcw7Vv4x1ZkDFrWhbyf6Z6F7kcaDLoCyLPttn91lQ=s1000, http://lh3.googleusercontent.com/ZVHtfP3Z-6oq6KMEzO_MmUAmi9d0WTn4VHBzn58Wa8pFlAXCtPD-xaqYhjdf9Edw_Tf27c5hX05QoXUUQxqMRA=s1000, ;SMALL;HOUSEHOLD, ;
6360525051002880;34.19213847;-83.95579567;North America;United States;Georgia;Hall County;;Flowery Branch;;;UNCONFIRMED;http://www.trashout.me/illegal-dump/6360525051002880;http://lh3.googleusercontent.com/CbH5PeH5Lg96Lc_7lH-3mJ8JuS9rlL5uwpVOLCtoGui0zvDVSM6cHgbCPvPLWXLlSIUPELGgsVUZ0xcNpqgMbQ=s1000, ;MEDIUM;HOUSEHOLD, AUTOMOTIVE, GLASS, ;
6350731988697088;34.27711685191307;-83.85278848939002;North America;United States;Georgia;Hall County;;Gainesville;;;UNCONFIRMED;http://www.trashout.me/illegal-dump/6350731988697088;http://lh3.googleusercontent.com/gm5FQCqCmYp5RpUFdu7R5e3w0F9dzLN8FL1_MAXrl3XGuSzhIxTB_bD9x8MJYLPwr2GK8_IyWSLSZKG63MTysw=s1000, ;MEDIUM;CONSTRUCTION, AUTOMOTIVE, ;
6356048621338624;34.2890295;-83.79692267;North America;United States;Georgia;Hall County;;Gainesville;;;UNCONFIRMED;http://www.trashout.me/illegal-dump/6356048621338624;http://lh3.googleusercontent.com/y3bK9ZkBIiCSiDG2aOMn-rByrK_5cYTLSQFvSDPOcT5UfLP-jcB2JgDhyYhdjPp1SbdLmvfrdqKPanKs2Jgx6g=s1000, ;SMALL;HOUSEHOLD, ;
6339484543090688;34.28662850990359;-83.8256178797072;North America;United States;Georgia;Hall County;;Gainesville;;;UNCONFIRMED;http://www.trashout.me/illegal-dump/6339484543090688;http://lh3.googleusercontent.com/L-ZRTpIIbQIyRhMY3jYf8yMW2MOI99mQNiHx6rwMfLi-N28mf3QUrkPsXe_7KNtKXFHCpDIzSIGSaAaTIwRQJhJ8=s1000, ;MEDIUM;AUTOMOTIVE, ;
6401491858358272;34.32558306;-83.76645219;North America;United States;Georgia;Hall County;;Gainesville;;;UNCONFIRMED;http://www.trashout.me/illegal-dump/6401491858358272;http://lh3.googleusercontent.com/c1P6FchdqFeAYZLiCxHAFygiu53uz7cRkkUHmojU8zmwSlIhyAPPM5W5KCZeu0dB6TPy682JVv81vDF_8nbJfPM=s1000, ;SMALL;HOUSEHOLD, PLASTIC, ;
6466394451345408;34.17330153;-83.94727475;North America;United States;Georgia;Hall County;;Flowery Branch;;;UNCONFIRMED;http://www.trashout.me/illegal-dump/6466394451345408;http://lh3.googleusercontent.com/7henNY1UlD-MFQwZ3syH_oQrD0oUFEfk9ceRpuVgq7MHC3_l4WerwS0wBEBKV_Ny_b6ZG-rWRCK2qWc_BLAsBvs=s1000, ;SMALL;HOUSEHOLD, PLASTIC, ;
6345765194563584;34.27190448160681;-83.88083626523975;North America;United States;Georgia;Hall County;;Gainesville;;;UNCONFIRMED;http://www.trashout.me/illegal-dump/6345765194563584;http://lh3.googleusercontent.com/2owDW3mXE0y1e5QKyjaxUiOlN39zSYJ6Osl7jwA7Bmgc-bHtrbZAWgAUhogr8pxrKaroC-93NmjAV2Ch2Fk-oGI=s1000, ;MEDIUM;GLASS, ;
6367120174612480;34.18381369675899;-84.04054747902232;North America;United States;Georgia;Hall County;;Buford;;;CONFIRMED;http://www.trashout.me/illegal-dump/6367120174612480;http://lh3.googleusercontent.com/2KeEtu_H3YH69LvgG2B2VeDMBX6KSRYBCaKYuNDDZupDa4bQYHlRSuIOfL8S7fR928bCsLZAQ95GKn9kmgzilA=s1000, http://lh3.googleusercontent.com/CxCAUqglp1bsCA0lvlkIitcDs1GWaXqbCOmkQfd2G2u_REPN7dhuhlfVHhu-XqpklZS3muahcgV0Ej82maRi-w=s1000, ;LARGE;PLASTIC, CONSTRUCTION, ;
6470986710908928;34.24923957;-83.98508465;North America;United States;Georgia;Forsyth County;;Gainesville;;Bennett Lane at Hwy. 369;CLEANED;http://www.trashout.me/illegal-dump/6470986710908928;http://lh3.googleusercontent.com/IGigK9XLm8AzKO5lFQJlKfATchGzjS52h8ouMay1jpaWNaEZfa6AJzp1SclZzRab7nBA_rQlBvgi_qzwJziTBjwH=s1000, http://lh3.googleusercontent.com/3ZzTRAkXRMapJE90M6mZePGMG-PVlcWE5qzvMGIhC-5BF_Pa4Aj6LoliHx4qB8I2Ba3knANFqCXCr_y0bEih7Q=s1000, ;SMALL;AUTOMOTIVE, ;
5059110689046528;34.23114992;-84.03512746;North America;United States;Georgia;Forsyth County;;Cumming;;Abandoned dock in our cove on six mile. Lighthouse Harbour subdivision. 7025 Lighthouse Point is the street address.;CLEANED;http://www.trashout.me/illegal-dump/5059110689046528;http://lh3.googleusercontent.com/eMHruXxrVMmxMBnhtNMEoz_heJqSv0hPWfXOKzpv-M_rY8MriSurdVpIKWCrWFEMoVg8AHdy3zotylxz5heGRJ8=s1000, http://lh3.googleusercontent.com/pbjeqnAtQkqupYBd467x9Ag4Xuam4jmg-VM_pj2FcnkWSCYGcCcmbrv6V6u_-7Ae8lNLGyNKLrc_RXkOpLq6qZk=s1000, ;LARGE;CONSTRUCTION, ;
6423119568830464;34.23096292;-84.03572632;North America;United States;Georgia;Forsyth County;;Cumming;;In our cove on six mile;CLEANED;http://www.trashout.me/illegal-dump/6423119568830464;http://lh3.googleusercontent.com/Q1jUY5ClxXFLGEN0wNBt90GsTcCkJQe5AFerbklIwNYs2ztRcYRcs10bbqJ1-L8JSa2ezj3HOCyDwi5ijw9dPNY=s1000, http://lh3.googleusercontent.com/P9E4HquHs3q_MVwSTY53_3gstlsxaSgHTYrmQUH8hg7WYjcZGwNBfBsRvpGGvi4T0W222mZV-_gW1Ol4pmS3Gg=s1000, ;MEDIUM;PLASTIC, ;
4976675783704576;34.23129252;-84.03556277;North America;United States;Georgia;Forsyth County;;Cumming;;It's in our cove on six mile;CLEANED;http://www.trashout.me/illegal-dump/4976675783704576;http://lh3.googleusercontent.com/lX8fkCC4hNlK-QX7GgyldXEWJj_K2nBDS0q0FI2hCU1pTJk0M4ntZoUYXpd2dYFPsRxzVT7d2DU0rg5SVBdfSmc=s1000, http://lh3.googleusercontent.com/oygYps41GeRGw4GpTGXaTmOSWqhY5-MEB3o56DLKjFYRNV86lljwjcasRSDb-ZmaMSP7lXRlyld6TjE_122nAZQ=s1000, ;LARGE;PLASTIC, ;
6436641992343552;34.23142823;-84.03556763;North America;United States;Georgia;Forsyth County;;Cumming;;This paddle boat seems very identifiable. Please share with the LLA members.;CLEANED;http://www.trashout.me/illegal-dump/6436641992343552;http://lh3.googleusercontent.com/1GbIIXEnPmvTJbDH9Rn_8pfTLpVWPgDZ6NR5KSaFWB2I8A5eJZ-uDaiFyJE0-7gN0GqVcrAzCJx10Pwyu-a2efc=s1000, http://lh3.googleusercontent.com/VzL-RYfukxXcilNGRxxrdCEAMk7VMc423xI1lYMhLintApgf6lleARY9gbPh9Yf_HJwoHPD-UTlVPkBYxcyihLix=s1000, ;LARGE;PLASTIC, ;
6420746330963968;34.2982502;-83.80771505;North America;United States;Georgia;Hall County;;Gainesville;;;CLEANED;http://www.trashout.me/illegal-dump/6420746330963968;http://lh3.googleusercontent.com/Kx-EdyX-fgaae4IAgylHzeHDlVoSdKS91s6_-GjQihzZ25KE5iaf3QrYow8U617-e5AyCMM16DQ8uOJJk9AdKg=s1000, http://lh3.googleusercontent.com/MDJrrKt9PVLQN1BzXFI5ymRTerUpwTPadQQwLZfqlhNW5mkumWihXHa9bpUfDY6MFshCzEDBg8DnqNxHt_1RKaKF=s1000, ;MEDIUM;HOUSEHOLD, ;
6431225501712384;34.24018787;-83.92874146;North America;United States;Georgia;Hall County;;Gainesville;;sunrise cove marina;CLEANED;http://www.trashout.me/illegal-dump/6431225501712384;http://lh3.googleusercontent.com/nxpw9E4OaphbufV78WqRvaLI1JHdbYJnV1iw7XR6JVOotohJz-vo1WjWoyOXifDHdl6zkpPL9IIgv9sg9RWttA=s1000, http://lh3.googleusercontent.com/XFgEmo1rtyI_LruDHiqCRr_qDisYzYD3PWPjXbpOo9JLLzI9Rf_qZkmgvrIvALBPVV-l5MX9X05z7n503UcC_V4F=s1000, ;SMALL;PLASTIC, METAL, GLASS, ELECTRONIC, ;
5565252586438656;34.316617576437366;-83.93870433800289;North America;United States;Georgia;Hall County;;Gainesville;;;UNCONFIRMED;http://www.trashout.me/illegal-dump/5565252586438656;http://lh3.googleusercontent.com/JIJ4yqEbE0KtxEXRDwj4Rq__wyRc8uuCgjxR2Nk5JMnozaMudY5Sfph658Y7KScJapWrmH9hrLH0VkCIdLCycval=s1000, ;LARGE;CONSTRUCTION, ;
6168161841840128;34.17195129211449;-83.97782435648513;North America;United States;Georgia;Hall County;;Flowery Branch;;;UNCONFIRMED;http://www.trashout.me/illegal-dump/6168161841840128;http://lh3.googleusercontent.com/F3qWfOyEAhQVFpBZ-ycPdvmQvVAhGQKOOQLRO8uLf8OosY4mt2MCq1ov9Sv6lbC6H5Z00DafsKbjCpzz8wrm5Ojr=s1000, ;MEDIUM;PLASTIC, ;
6451124219412480;34.27448522768381;-83.93725954935321;North America;United States;Georgia;Hall County;;Gainesville;;;UNCONFIRMED;http://www.trashout.me/illegal-dump/6451124219412480;http://lh3.googleusercontent.com/Rmsqgl0K-OFOVs3D6-00yk1WA4p0TLmn4ZvT40OEBi9uX43lvyFBaiYUuqjgJKpaXp8Rx_f2xv0FxiSX4dY5VSk=s1000, ;LARGE;HOUSEHOLD, ;
6364492044697600;34.38820577695443;-83.74117054052999;North America;United States;Georgia;Hall County;;Gainesville;;;UNCONFIRMED;http://www.trashout.me/illegal-dump/6364492044697600;http://lh3.googleusercontent.com/OCsnzDcxLoUJDo395e7ta02_roL7pPMEDe5vwuK5SVtA2pfvy--EqieTnbcznCT6H__wPqya_Te-B8Nt--eUdQ=s1000, ;SMALL;CONSTRUCTION, ;
6445159046709248;34.34368860911051;-83.8325915393269;North America;United States;Georgia;Hall County;;Gainesville;;;UNCONFIRMED;http://www.trashout.me/illegal-dump/6445159046709248;http://lh3.googleusercontent.com/27llFHP6yut4d6vZZ5oj9HGaM_PDg7kaUotb_eK7vjH8-jmzKAHQdqpdG5hUR9hIeBu3dP034K8MP9J_-AcdLkM=s1000, http://lh3.googleusercontent.com/mNMAc_TVQST8fo9Ba7WcIDylW7YKXw4phGU-LYDO5ufBGOG5FnflooPQP4OH9uw8zEkHL-LzqEK6wll7N2IzRO0=s1000, ;LARGE;PLASTIC, ;
6392927412551680;34.16833051949196;-84.02215716436879;North America;United States;Georgia;Hall County;;Buford;;;UNCONFIRMED;http://www.trashout.me/illegal-dump/6392927412551680;http://lh3.googleusercontent.com/lFbW_r3uFRoVWaWkkMTnDHI3aMfSjQYVYqRZrzRgxfmqGuIM3ll5EvjzTemVrtAVVUHabxPG5jWEo2JagetJChU=s1000, ;MEDIUM;METAL, ;
6122881142489088;34.16969521905684;-84.02692068376022;North America;United States;Georgia;Hall County;;Buford;;;UNCONFIRMED;http://www.trashout.me/illegal-dump/6122881142489088;http://lh3.googleusercontent.com/4D_RC7j9GPTPLjHJirWK5cLKSpac7qSCnqq3o78JYGG9wHy5yP2CHSlMxZ-DCEPaopAlbEIXYtcDcmIWf_E5Ug=s1000, ;LARGE;PLASTIC, ;
5032340828979200;34.16377814024143;-84.04501997873564;North America;United States;Georgia;Hall County;;Buford;;;UNCONFIRMED;http://www.trashout.me/illegal-dump/5032340828979200;http://lh3.googleusercontent.com/C7JePL91xJGw3B5j18Xkacw9X6fTDvBdsbkQWOWdjZTp0NA6jVjsHMSoi1V-wRsck9e7AxfnGf2RyQ7OxRxC5tE=s1000, ;MEDIUM;CONSTRUCTION, ;
4930972084600832;34.16450174994223;-84.03746989563483;North America;United States;Georgia;Hall County;;Buford;;;UNCONFIRMED;http://www.trashout.me/illegal-dump/4930972084600832;http://lh3.googleusercontent.com/4nhMaRVefpJrrwqEUR1PBTBPy791p_FFBm2jdrzQ6JY8vizWrohCrsdOxCd4gbeF-zxdB5Vo_Sq3hKrEQauDxw=s1000, ;LARGE;PLASTIC, ;
6421419688722432;34.21415417458323;-84.058293309141;North America;United States;Georgia;Forsyth County;;Cumming;;;UNCONFIRMED;http://www.trashout.me/illegal-dump/6421419688722432;http://lh3.googleusercontent.com/ihzqZFklorkD03VV_1JpM4ZNiP0RVCksmVb3-djLy1h2SEox2Rym7k-xExM8k_zPtHFw_-n6fdpHFXdotbhVvg=s1000, ;SMALL;PLASTIC, ;
5002232101601280;34.23615830487966;-84.02087096132712;North America;United States;Georgia;Forsyth County;;Gainesville;;;UNCONFIRMED;http://www.trashout.me/illegal-dump/5002232101601280;http://lh3.googleusercontent.com/FpfzdUK4CDq5Al5kEYq_ZdxAVCfETZGPegq_9_yG-ER9-33UDcUpd82eQQwsGI-6GKrfDTarYZ76QUr1lwFJOsM9=s1000, ;MEDIUM;PLASTIC, ;
